,NODE_ID_left,LATITUDE_left,LONGITUDE_left,geometry,demand,LMP,gen,index_right,NODE_ID_right,LATITUDE_right,LONGITUDE_right
1,2,30.659554,-96.114919,POINT (-10699463.840716735 3588614.229843383),0,0,0,2703,STATION2704,30.64908565399999,-96.10158605199999
8,13,30.659554,-96.114919,POINT (-10699463.840716735 3588614.229843383),1,0,0,2703,STATION2704,30.64908565399999,-96.10158605199999
3,5,30.58656197,-95.90139229,POINT (-10675694.156088773 3579171.944847455),0,0,0,441,STATION442,30.592400000000133,-95.91779999999949
6,8,30.58450737,-95.9341766,POINT (-10679343.68878398 3578906.2637472916),1,0,0,3717,STATION3718,30.584596630000078,-95.93431279300007
5765,40600,30.58459663,-95.93431279,POINT (-10679358.849385433 3578917.80587452),0,1,0,3717,STATION3718,30.584596630000078,-95.93431279300007
7,9,30.77288,-95.98298,POINT (-10684776.45842096 3603288.2820085716),1,0,0,5234,STATION5235,30.78544832500013,-95.96566994799986
9,17,30.625885,-96.10423,POINT (-10698273.946679646 3584257.9066394405),0,0,0,4570,STATION4571,30.621186131999963,-96.08669093600021
10,21,30.625885,-96.10423,POINT (-10698273.946679646 3584257.9066394405),1,0,0,4570,STATION4571,30.621186131999963,-96.08669093600021
11,25,30.91975578,-96.07381578,POINT (-10694888.251196371 3622332.2828942547),1,0,0,3754,STATION3755,30.919776304000003,-96.0738275989997
12,26,31.05399667,-96.64370824,POINT (-10758328.389650498 3639763.626095958),0,0,0,981,STATION982,31.049176000000035,-96.67694199999961
13,27,30.99399667,-96.70370824,POINT (-10765007.559098093 3631969.521245828),1,0,0,5319,STATION5320,30.97469622600011,-96.67280120899962
14,31,30.84346,-96.64333,POINT (-10758286.2841663 3612436.088018507),1,0,0,5068,STATION5069,30.861866787000015,-96.6072561760004
15,32,30.94513563,-96.56931779,POINT (-10750047.282636615 3625626.0084643895),0,0,0,3121,STATION3122,30.945187337000032,-96.56933256300042
16,33,31.124757,-96.267727,POINT (-10716474.349465873 3648961.835548094),0,0,0,4136,STATION4137,31.123218361999996,-96.27024107400025
20,37,31.10479607,-96.29460735,POINT (-10719466.65634022 3646366.399563416),1,0,0,4136,STATION4137,31.123218361999996,-96.27024107400025
22,39,31.10479607,-96.29460735,POINT (-10719466.65634022 3646366.399563416),0,1,1,4136,STATION4137,31.123218361999996,-96.27024107400025
17,34,31.09650109,-96.67275373,POINT (-10761561.718807137 3645287.9985909867),1,0,0,5378,STATION5379,31.09652194400012,-96.67273584100028
24,43,31.08004156,-96.22217901,POINT (-10711403.970412416 3643148.432151515),0,0,0,2805,STATION2806,31.080053545000016,-96.22220914100006
27,47,31.08004156,-96.22217901,POINT (-10711403.970412416 3643148.432151515),0,0,0,2805,STATION2806,31.080053545000016,-96.22220914100006
28,48,31.08004156,-96.22217901,POINT (-10711403.970412416 3643148.432151515),1,0,0,2805,STATION2806,31.080053545000016,-96.22220914100006
30,57,31.07054349,-96.24828085,POINT (-10714309.613949984 3641913.951154524),1,0,0,2805,STATION2806,31.080053545000016,-96.22220914100006
29,53,30.94933,-96.58139,POINT (-10751391.154906563 3626170.426218823),1,0,0,3413,STATION3414,30.951341843000076,-96.57592969900031
33,65,30.916451,-96.926994,POINT (-10789863.616202682 3621903.462156547),1,0,0,4027,STATION4028,30.916953999999997,-96.92752299999988
34,69,31.076079,-97.115848,POINT (-10810886.747316955 3642633.3962096716),1,0,0,3652,STATION3653,31.075919225999975,-97.11498914500008
35,73,31.00848922,-96.8020557,POINT (-10775955.548266105 3633851.6792820175),0,0,0,5216,STATION5217,31.008524453000064,-96.80126267700037
37,77,31.00848922,-96.8020557,POINT (-10775955.548266105 3633851.6792820175),1,0,0,5216,STATION5217,31.008524453000064,-96.80126267700037
36,75,30.74516,-96.953865,POINT (-10792854.882239787 3599697.3553238837),1,0,0,4099,STATION4100,30.74572400800004,-96.95447661899975
2539,3683,30.74516,-96.953865,POINT (-10792854.882239787 3599697.3553238837),0,0,0,4099,STATION4100,30.74572400800004,-96.95447661899975
2540,3684,30.74516,-96.953865,POINT (-10792854.882239787 3599697.3553238837),1,0,0,4099,STATION4100,30.74572400800004,-96.95447661899975
2541,3685,30.74516,-96.953865,POINT (-10792854.882239787 3599697.3553238837),1,0,0,4099,STATION4100,30.74572400800004,-96.95447661899975
39,81,32.72739688,-96.70054891,POINT (-10764655.864091245 3859176.107020411),1,0,0,882,STATION883,32.72739687600002,-96.70054890799993
1991,2952,32.72739688,-96.70054891,POINT (-10764655.864091245 3859176.107020411),0,0,0,882,STATION883,32.72739687600002,-96.70054890799993
1992,2953,32.72739688,-96.70054891,POINT (-10764655.864091245 3859176.107020411),1,0,0,882,STATION883,32.72739687600002,-96.70054890799993
1997,2960,32.72739688,-96.70054891,POINT (-10764655.864091245 3859176.107020411),0,0,0,882,STATION883,32.72739687600002,-96.70054890799993
1998,2961,32.72739688,-96.70054891,POINT (-10764655.864091245 3859176.107020411),1,0,0,882,STATION883,32.72739687600002,-96.70054890799993
40,85,31.304194,-96.516632,POINT (-10744182.327321773 3672317.8581944504),0,0,0,5151,STATION5152,31.303927586000018,-96.51116745000037
42,89,31.304194,-96.516632,POINT (-10744182.327321773 3672317.8581944504),1,0,0,5151,STATION5152,31.303927586000018,-96.51116745000037
41,86,31.379812,-96.220514,POINT (-10711218.62234705 3682173.8207911863),0,0,0,1963,STATION1964,31.376987114000006,-96.20628437899954
2459,3599,31.339421,-96.209219,POINT (-10709961.268698541 3676908.3190250825),0,0,0,1963,STATION1964,31.376987114000006,-96.20628437899954
2460,3600,31.339421,-96.209219,POINT (-10709961.268698541 3676908.3190250825),1,0,0,1963,STATION1964,31.376987114000006,-96.20628437899954
45,93,31.14769,-96.52134,POINT (-10744706.419484427 3651944.391410142),1,0,0,3663,STATION3664,31.166682441999946,-96.52449812900028
47,99,31.503133,-96.686782,POINT (-10763123.338680249 3698264.3772285804),1,0,0,3807,STATION3808,31.50330899999998,-96.6870419999995
48,103,31.438558,-96.675396,POINT (-10761855.854958078 3689836.182995039),1,0,0,5313,STATION5314,31.437590373000024,-96.67740564000042
2449,3588,31.438558,-96.675396,POINT (-10761855.854958078 3689836.182995039),0,0,0,5313,STATION5314,31.437590373000024,-96.67740564000042
2458,3597,31.438558,-96.675396,POINT (-10761855.854958078 3689836.182995039),0,0,0,5313,STATION5314,31.437590373000024,-96.67740564000042
51,110,30.850508,-97.193858,POINT (-10819570.78079374 3613349.941802678),1,0,0,4025,STATION4026,30.850506525000082,-97.19445600300007
52,114,30.824327,-97.462219,POINT (-10849444.590662513 3609955.614190082),0,0,0,3920,STATION3921,30.814657532000094,-97.46868111199997
56,118,30.824327,-97.462219,POINT (-10849444.590662513 3609955.614190082),1,0,0,3920,STATION3921,30.814657532000094,-97.46868111199997
53,115,30.98737081,-97.7666801,POINT (-10883337.045280872 3631109.1112463064),1,0,0,3770,STATION3771,30.987375950000096,-97.76663541899995
54,116,30.611843,-97.139356,POINT (-10813503.645906525 3582441.5054947794),1,0,0,2527,STATION2528,30.59625939500008,-97.13270947099998
55,117,30.92927284,-97.68633532,POINT (-10874393.105283374 3623567.277729571),1,0,0,5354,STATION5355,30.9292728390001,-97.68633532400042
57,120,30.685543,-96.962784,POINT (-10793847.740778174 3591977.9004711267),1,0,0,2764,STATION2765,30.68448149700003,-96.96790348300037
58,121,30.80232532,-97.60764767,POINT (-10865633.636153657 3607103.8448086907),1,0,0,825,STATION826,30.802325295999974,-97.60764768600029
59,122,30.801768,-97.544563,POINT (-10858611.082812393 3607031.6157093015),1,0,0,3067,STATION3068,30.796502716000123,-97.56192001000011
60,125,30.971111,-97.512697,POINT (-10855063.775918776 3628997.924856271),1,0,0,3891,STATION3892,30.971238155000023,-97.5130358659996
2499,3640,30.971111,-97.512697,POINT (-10855063.775918776 3628997.924856271),1,0,0,3891,STATION3892,30.971238155000023,-97.5130358659996
2552,3699,30.97123817,-97.51303584,POINT (-10855101.495415036 3629014.435312655),0,0,0,3891,STATION3892,30.971238155000023,-97.5130358659996
